b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
319.0,319.0,0.0,6.36,0.0,618.0,24.272,638.0,0.0,0.0,6320.0,0.0,50.15723270440251,93807.43839999998,7791.763199999999,172.7999856490068,7.033354690486419,0.33333333333333337,2.1148588169996927,8.38467121856807,6.92269317173545,0.08904412619135345,0.0,0.0,0.0
319.0,319.0,0.0,6.36,0.0,618.0,39.275,638.0,0.0,0.0,7780.0,0.0,50.15723270440251,93807.43839999998,7791.763199999999,172.7999856490068,7.033354690486419,0.33333333333333337,1.306985441278588,8.38467121856807,6.92269317173545,0.09401183319863271,0.0,0.0,0.0
318.0,318.0,0.0,6.36,0.0,618.0,39.275,636.0,0.0,0.0,7473.0,0.0,50.0,93195.87839999999,7766.3232,172.23579606545903,7.032904214765352,0.33333333333333337,1.3112667091024828,8.41159794501166,6.922658448890859,0.09400129774219182,0.0,0.0,0.0
319.0,319.0,0.0,6.36,0.0,618.0,81.322,638.0,0.0,0.0,10357.0,0.0,50.15723270440251,93807.43839999998,7791.763199999999,172.7999856490068,7.033354690486419,0.33333333333333337,0.6312172992082897,8.38467121856807,6.92269317173545,0.10637928144958365,0.0,0.0,0.0
120.0,120.0,0.0,6.47,0.0,835.0,24.272,240.0,0.0,0.0,2819.0,0.0,18.547140649149924,11461.8436,2770.7128,60.402136814622786,6.905837510774809,0.33333333333333337,8.316066336301171,31.822132050252137,6.887804778495589,0.10190561721776403,0.0,0.0,0.0
120.0,120.0,0.0,6.47,0.0,835.0,38.702,240.0,0.0,0.0,2957.0,0.0,18.547140649149924,11461.8436,2770.7128,60.402136814622786,6.905837510774809,0.33333333333333337,5.215429748196527,31.822132050252137,6.887804778495589,0.10369402693619782,0.0,0.0,0.0
120.0,120.0,0.0,6.47,0.0,835.0,38.702,240.0,0.0,0.0,2961.0,0.0,18.547140649149924,11461.8436,2770.7128,60.402136814622786,6.905837510774809,0.33333333333333337,5.215429748196527,31.822132050252137,6.887804778495589,0.10369402693619782,0.0,0.0,0.0
119.0,119.0,0.0,6.47,0.0,835.0,73.581,238.0,0.0,0.0,3318.0,0.0,18.39258114374034,11248.723600000001,2744.8328,59.837947231075034,6.9025003624979036,0.33333333333333337,2.7690668399029366,32.10664842511289,6.8871209266695255,0.10833928590986713,0.0,0.0,0.0
175.0,175.0,0.0,6.47,0.0,835.0,24.272,350.0,0.0,0.0,4210.0,0.0,27.047913446676972,26263.443600000002,4194.1128,91.43256390974939,7.030329157234917,0.33333333333333337,5.493755781589556,21.40129145558248,6.909237134888515,0.10078698862732564,0.0,0.0,0.0
175.0,175.0,0.0,6.47,0.0,835.0,38.702,350.0,0.0,0.0,4493.0,0.0,27.047913446676972,26263.443600000002,4194.1128,91.43256390974939,7.030329157234917,0.33333333333333337,3.445414715796127,21.40129145558248,6.909237134888515,0.1031811769881709,0.0,0.0,0.0
